driver_number,chain,num_days_worked,is_overnight
1,Mon[R1] → Tue[R5] → Wed[R3] → Thu[R6] → Fri[R1],5,False
2,Mon[R2] → Tue[R1] → Wed[R7] → Thu[R1] → Fri[R6],5,False
3,Mon[R3] → Tue[R4] → Wed[R4] → Thu[R5] → Fri[R2],5,False
4,Mon[R4] → Tue[R3] → Wed[R5] → Thu[R3] → Fri[R4],5,False
5,Mon[R5] → Tue[R2] → Wed[R6] → Thu[R2] → Fri[R5],5,False
6,Tue[R6] → Wed[R2] → Thu[R4] → Fri[R3],4,False
7,Tue[R7] → Wed[R1] → Thu[R7],3,False
