Capacity,AllowOvernight,WeeklyMiles,AnnualMiles,TotalRoutes,TotalOrders,OvernightRoutes
3000,False,7929,412308,32,261,0
3500,False,7832,407264,30,261,0
3800,False,7887,410124,30,261,0
4200,False,7782,404664,29,261,0
