parameter,param_value,scenario,weekly_total,annual_total
driver_hourly_wage,33.0,ALNS,29608.66,1539650.32
driver_hourly_wage,33.0,ALNS + Overnight,30497.5,1585870.0
driver_hourly_wage,34.6667,Base Case (CW+LS),30643.36,1593454.72
driver_hourly_wage,34.6667,Overnight (CW+LS),32551.7,1692688.4
driver_hourly_wage,34.6667,Mixed Fleet (Van+ST),33731.66,1754046.32
driver_hourly_wage,34.6667,ALNS,30439.42,1582849.84
driver_hourly_wage,34.6667,ALNS + Overnight,31341.32,1629748.64
driver_hourly_wage,36.3333,Base Case (CW+LS),31470.44,1636462.88
driver_hourly_wage,36.3333,Overnight (CW+LS),33417.2,1737694.4
driver_hourly_wage,36.3333,Mixed Fleet (Van+ST),34574.4,1797868.8
driver_hourly_wage,36.3333,ALNS,31270.35,1626058.2
driver_hourly_wage,36.3333,ALNS + Overnight,32185.32,1673636.64
driver_hourly_wage,38.0,Base Case (CW+LS),32297.42,1679465.84
driver_hourly_wage,38.0,Overnight (CW+LS),34282.49,1782689.48
driver_hourly_wage,38.0,Mixed Fleet (Van+ST),35417.12,1841690.24
driver_hourly_wage,38.0,ALNS,32101.19,1669261.88
driver_hourly_wage,38.0,ALNS + Overnight,33029.2,1717518.4
overnight_allowance,69.0,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,69.0,Overnight (CW+LS),31101.22,1617263.44
overnight_allowance,69.0,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,69.0,ALNS,29110.14,1513727.28
overnight_allowance,69.0,ALNS + Overnight,29947.16,1557252.32
overnight_allowance,74.1667,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,74.1667,Overnight (CW+LS),31132.24,1618876.48
overnight_allowance,74.1667,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,74.1667,ALNS,29110.14,1513727.28
overnight_allowance,74.1667,ALNS + Overnight,29967.84,1558327.68
overnight_allowance,79.3333,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,79.3333,Overnight (CW+LS),31163.2,1620486.4
overnight_allowance,79.3333,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,79.3333,ALNS,29110.14,1513727.28
overnight_allowance,79.3333,ALNS + Overnight,29988.48,1559400.96
overnight_allowance,84.5,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,84.5,Overnight (CW+LS),31194.22,1622099.44
overnight_allowance,84.5,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,84.5,ALNS,29110.14,1513727.28
overnight_allowance,84.5,ALNS + Overnight,30009.16,1560476.32
overnight_allowance,89.6667,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,89.6667,Overnight (CW+LS),31225.24,1623712.48
overnight_allowance,89.6667,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,89.6667,ALNS,29110.14,1513727.28
overnight_allowance,89.6667,ALNS + Overnight,30029.84,1561551.68
overnight_allowance,94.8333,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,94.8333,Overnight (CW+LS),31256.2,1625322.4
overnight_allowance,94.8333,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,94.8333,ALNS,29110.14,1513727.28
overnight_allowance,94.8333,ALNS + Overnight,30050.48,1562624.96
overnight_allowance,100.0,Base Case (CW+LS),29320.28,1524654.56
overnight_allowance,100.0,Overnight (CW+LS),31287.22,1626935.44
overnight_allowance,100.0,Mixed Fleet (Van+ST),32383.45,1683939.4
overnight_allowance,100.0,ALNS,29110.14,1513727.28
overnight_allowance,100.0,ALNS + Overnight,30071.16,1563700.32
day_cab_daily,150.0,Base Case (CW+LS),28200.28,1466414.56
day_cab_daily,150.0,Overnight (CW+LS),30047.22,1562455.44
day_cab_daily,150.0,Mixed Fleet (Van+ST),31018.45,1612959.4
day_cab_daily,150.0,ALNS,28025.14,1457307.28
day_cab_daily,150.0,ALNS + Overnight,28906.16,1503120.32
day_cab_daily,163.3333,Base Case (CW+LS),28626.84,1488595.68
day_cab_daily,163.3333,Overnight (CW+LS),30473.78,1584636.56
day_cab_daily,163.3333,Mixed Fleet (Van+ST),31538.32,1639992.64
day_cab_daily,163.3333,ALNS,28438.37,1478795.24
day_cab_daily,163.3333,ALNS + Overnight,29319.39,1524608.28
day_cab_daily,176.6667,Base Case (CW+LS),29053.72,1510793.44
day_cab_daily,176.6667,Overnight (CW+LS),30900.66,1606834.32
day_cab_daily,176.6667,Mixed Fleet (Van+ST),32058.58,1667046.16
day_cab_daily,176.6667,ALNS,28851.91,1500299.32
day_cab_daily,176.6667,ALNS + Overnight,29732.93,1546112.36
day_cab_daily,190.0,Base Case (CW+LS),29480.28,1532974.56
day_cab_daily,190.0,Overnight (CW+LS),31327.22,1629015.44
day_cab_daily,190.0,Mixed Fleet (Van+ST),32578.45,1694079.4
day_cab_daily,190.0,ALNS,29265.14,1521787.28
day_cab_daily,190.0,ALNS + Overnight,30146.16,1567600.32
day_cab_daily,203.3333,Base Case (CW+LS),29906.84,1555155.68
day_cab_daily,203.3333,Overnight (CW+LS),31753.78,1651196.56
day_cab_daily,203.3333,Mixed Fleet (Van+ST),33098.32,1721112.64
day_cab_daily,203.3333,ALNS,29678.37,1543275.24
day_cab_daily,203.3333,ALNS + Overnight,30559.39,1589088.28
day_cab_daily,216.6667,Base Case (CW+LS),30333.72,1577353.44
day_cab_daily,216.6667,Overnight (CW+LS),32180.66,1673394.32
day_cab_daily,216.6667,Mixed Fleet (Van+ST),33618.58,1748166.16
day_cab_daily,216.6667,ALNS,30091.91,1564779.32
day_cab_daily,216.6667,ALNS + Overnight,30972.93,1610592.36
day_cab_daily,230.0,Base Case (CW+LS),30760.28,1599534.56
day_cab_daily,230.0,Overnight (CW+LS),32607.22,1695575.44
day_cab_daily,230.0,Mixed Fleet (Van+ST),34138.45,1775199.4
day_cab_daily,230.0,ALNS,30505.14,1586267.28
day_cab_daily,230.0,ALNS + Overnight,31386.16,1632080.32
insurance_per_day,45.0,Base Case (CW+LS),28968.28,1506350.56
insurance_per_day,45.0,Overnight (CW+LS),30815.22,1602391.44
insurance_per_day,45.0,Mixed Fleet (Van+ST),31954.45,1661631.4
insurance_per_day,45.0,ALNS,28769.14,1495995.28
insurance_per_day,45.0,ALNS + Overnight,29650.16,1541808.32
insurance_per_day,50.0,Base Case (CW+LS),29128.28,1514670.56
insurance_per_day,50.0,Overnight (CW+LS),30975.22,1610711.44
insurance_per_day,50.0,Mixed Fleet (Van+ST),32149.45,1671771.4
insurance_per_day,50.0,ALNS,28924.14,1504055.28
insurance_per_day,50.0,ALNS + Overnight,29805.16,1549868.32
insurance_per_day,55.0,Base Case (CW+LS),29288.28,1522990.56
